05165.2021-0;None;Locação de Imóvel;None;None;None;None;None;None
05234.2021-8;None;INSTALACAO  MANUTENCAO  MONITORIZACAO - SISTEMA ALARME   SEGURANCA;None;None;None;None;None;None
05238.2021-6;None;INSTALACAO  MANUTENCAO  MONITORIZACAO - SISTEMA ALARME   SEGURANCA;None;None;None;None;None;None
05246.2022-9;None;MATERIAL DE COPA/GÁS/GENÉROS ALIMENTÍCIOS;None;None;None;None;None;None
05257.2021-9;None;OUTROS SERVICOS PARA A INFRAESTRUTURA DE TECNOLOGIA DA INFORMACAO E COMUNICACAO (TIC);None;None;None;None;None;None
05307.2022-1;None;MATERIAL DE COPA/GÁS/GENÉROS ALIMENTÍCIOS;None;None;None;None;None;None
05344.2021-4;None;TELEFONIA FIXA COMUTADA  CONVENCIONAL;None;None;None;None;None;None
05446.2022-4;None;INSTALACAO  MANUTENCAO - ENERGIA SOLAR FOTOVOTAICA;None;None;None;None;None;None
05778.2021-4;None;SEGURANÇA DA INFORMAÇÃO;None;None;None;None;None;None
05817.2022-9;None;PERICIA  LAUDO  AVALIACAO - TECNICA;None;None;None;None;None;None
05827.2021-4;None;TELEATENDIMENTO;None;None;None;None;None;None
05841.2021-4;None;Locação de Imóvel;None;None;None;None;None;None
05843.2021-3;None;Locação de Imóvel;None;None;None;None;None;None
05844.2021-8;None;Locação de Imóvel;None;None;None;None;None;None
05845.2021-2;None;Locação de Imóvel;None;None;None;None;None;None
05846.2021-7;None;Locação de Imóvel;None;None;None;None;None;None
05873.2021-4;None;PERICIA  LAUDO  AVALIACAO - TECNICA;None;None;None;None;None;None
06105.2022-9;None;AQUISIÇÃO DE EQUIPAMENTOS DE MONITORAMENTO PARA SEGURANÇA DO TRE-MT;None;None;None;None;None;None
06320.2022-9;None;PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO;None;None;None;None;None;None
06360.2021-5;None;ASSISTENCIA MEDICA - HOSPITALAR  DOMICILIAR COMPLEMENTAR DESAUDE  CONVÊNIO;None;None;None;None;None;None
06402.2022-3;None;LOCACAO DE AERONAVE;None;None;None;None;None;None
06405.2022-7;None;LOCACAO DE AERONAVE;None;None;None;None;None;None
06843.2021-5;None;Livro Comemorativo 90 anos;None;None;None;None;None;None
06914.2020-3;None;MATERIAL DE PROTEÇÃO E SEGURANÇA;None;None;None;None;None;None
